id,theme,theme_bucket,proverb_translit,literal_en,commentary
306,,,Sir eijde nub man bady ib meb.,Bowings of the bead and evil in the heart.,SWd of s hypooriie.
307,,,SAt kl aur Ytuuf kl bhorlddfd f,Purobasiog Joseph with a skeiu of thread.,"For osplMwtion oeo pogo 888, eoL i."
308,,,"Taeblh pherM, kie ko j/hetUb t","Oountiug my beads, whom shall I cheat 1",Pui into the mouth of o hypoerito.
309,,,Xhu mdvat gild na ddrad.,One thing for another prevents complaints.,Bsch«Dg« i« no robbery.
310,,,Bar roa IdHuaif hi Wed kkurad hate.,"Every day ie not td, that one may eat calms.",There tt a Ume for every Ihiag.
311,,,Pard-gandah rod porftrgandaK dil. mind.,An uncertain living makes an uncertain,The miserito of a hand to mouth life.
312,,,Supwdam ba to mdyd-vkhah rd: Td ddad,I have made over my property to you: You now know all its go and bad pointa,A preface to booke.
313,,,AleeR hhfl kahOO kJtjalef,How long will a single stick barn 1,One nun esanot do the work of tea.
314,,,JF9fMf la jdl hand med aoMii rolla.,Born ill iioudoga doM not roinain in bondaga.,MUfurtttM will not alwaja eling to ono.
315,,,Beeh beeht nurl ptdhnl kd bpah. mj property.,My tomboy is married off by the sale of,For explanation see page SA eel. i.
316,,,"Btjfd ho piMw-Adri fokdd Id pll gdoed, whoaA",Qhnding ooarae grains she sings the song of,She fcelka vary Ug: draws the long bow.
317,,,"Idtgd ohamdA, ooh bhl hah Idogl bohd ha","If my son shonld marry alow woman, she would still bo called my daughtcr-in-law.",Meko tho h«k of a bad bargain.
318,,,Bhdt ihdt§f hAth pirV t eohe I,She can’t eat rice beoauee it maltee her baud,8h« m to delioaU.
319,,,JBAof pofs voh tondf jit «• kdn.,Fire burn the gold that spliU the ears t,"For «xplanaUoii Me pag il, eol i."
320,,,"Blbl Khaild do cAifte, ok maUd. ( skirt.)",Madam Slut has two white and one dirty,A whited eepOlehre.
321,,,B Dauf pne Uko mod Al khauld.,Madam Purse-proud boila in her own flames.,Friee in her own fat.
322,,,"Chan «halt dl taut ke pUar, co-wife.",She went for refuse to the family of the,For oxplanakioQ om pago 50. oot i.
323,,,"CMi ehir, baghkro pkkek.","She peel but four, and brought oet #ve.",Said tattsktefly to a aouoaitad daktar ia law.
324,,,"Dekho Miydd ke elthand band, ph&ii jam ting.",Look at this uentleman'a consequentiulirs a and hia tauered robe with three stra pa,Whereas it ought to have eight or nine.
325,,,"Dhdk tale Id phdof, Mahm imU U sughof.",A blockhead under • pbik tieo b os good as a clever fellow nnder a Mahvi,"For eaptaastiMi ass psts«,eoLiL"
326,,,Dhl befi aptse ghar bkatk,Daughtere are beat in their own houaea,i a their hashaadd imssss.
327,,,Ghar cAAoj Aas7rd qdpam.,He has left hit bouse to lodge in a mean idace.,A foolish follow.
328,,,"Okmr iM MM MJi noAlil, iair bakar n§oit!",Not tTen parohed Mi iu the house Hud,PsiehM Mewf it « worthUM •rlicltt.
329,,,OwgoA he bgdk meA rhloA kl hoi. seeds.,At a doll's marriage the gifts arc tamarind,Said of the vary poor.
330,,,IA kd ghar mali har digd /,She has brought his brick house to dust.,A bad manager.
331,,,Jeon »e nOrd ghiand hoi. neck with.,It is a thick rope that I have to rub mj,"For explanation see psge 115, col. i."
332,,,Kokh mddg h \hatidt r.«Ae / head I,May yon ever be bappy both in womb and,"For •xplnoatiuu eee pege 148, ool. i."
333,,,"Lafhd rove, JAoecan ckiUdeef tofhaufi mekaripd","The child cries, the husband roars aud the",A family quarrel
334,,,"La fie to noAlA, mdi neiMe hoik,","lltey fight not, but speak ill of the deed.",Seu of book biters.
335,,,"Md 6rfl gdne-vdli, bdp pdt bardfi t","Mother and daughter for singers, and fisther",A poor men's OMUtiags.
336,,,"Hie eon ie aa iSkm mefhnr, the olH ia aa the","aire; if not iHogithm, at least somewhat",For mplisniie smgmi liA ssL K ' Jf4 pimMut ealalAA mm Afp Ufhkmm koMhML A mother that grnda eona ia faeitar than a father that ia aaptaha of aavan thonoand
337,,,MtH k t tddt na dyd.,Why did sho die f For want of breath I,A miefortone that cannot bo avoided.
338,,,"Sah-hi hOkar jo Kd$h\ jdeb, to pdtar obdfan","If all the dogs were to go to Kftsbl (Benares), who would there be to lick the platter I",Doge in India are the public ecaTangert.
339,,,S.ih kAu hole to n\h Idgaldt haipdr bahu bole,")Vhen others speak it is pleasant, but when my daughterinlaw speaks it pricks me.","For elplanation aee page 190, col. i."
340,,,"Sherh,eukh bherh. (comfort!",Inyonr husband's honse yon will lies in,Adrioo to a yonnil brida.
341,,,Sou gnldmah ghar eOnh. houee ie empty.,"Although there be a hundred elavee, the",It the matter ba atwant.
342,,,Son mokgd/lt motigok mek dhauH. (pearls.,"She is yellow with gold, and white with",Riebty decorated with omamenta.
343,,,Surmd aab Itgdta Adik par ehUvon bhakt bhdkt.,"All apply antimony, but their mannem differ.","For explanation me page 228, col. it."
344,,,TVrl dvdt Makke iiadltut nuU. Madfnft.,Hay your voice le heard in MtikkS and,"For oxpUnttioa see pnge SS, col. i."
